klub,meno,SUM of dlzka
(-),Alena Bašistová,89
(-),Anna Zemanová,1
(-),Anton Hrnko,1
(-),Eduard Adamčík,3
(-),Igor Janckulík,16
(-),Jozef Mihál,507
(-),Jozef Viskupič,1
(-),Katarína Macháčková,59
(-),Marian Kotleba,1
(-),Martin Fedor,5
(-),Martin Poliačik,232
(-),Martina Šimkovičová,11
(-),Milan Krajniak,0
(-),Miroslav Beblavý,1084
(-),Oto Žarnay,135
(-),Peter Marček,131
(-),Radoslav Procházka,5
(-),Rastislav Holúbek,3
(-),Richard Vašečka,19
(-),Simona Petrík,232
(-),Viera Dubačová,117
(-),Zsolt Simon,568
(-),Zuzana Zimenová,299
(ĽS Naše Slovensko),Ján Kecskés,150
(ĽS Naše Slovensko),Ján Mora,53
(ĽS Naše Slovensko),Jana Nehézová,74
(ĽS Naše Slovensko),Juraj Kolesár,55
(ĽS Naše Slovensko),Marian Kotleba,767
(ĽS Naše Slovensko),Martin Beluský,128
(ĽS Naše Slovensko),Martin Kotleba,15
(ĽS Naše Slovensko),Milan Mazurek,652
(ĽS Naše Slovensko),Milan Uhrík,401
(ĽS Naše Slovensko),Natália Grausová,616
(ĽS Naše Slovensko),Ondrej Binder,9
(ĽS Naše Slovensko),Peter Krupa,12
(ĽS Naše Slovensko),Rastislav Schlosár,195
(ĽS Naše Slovensko),Stanislav Drobný,121
(ĽS Naše Slovensko),Stanislav Mizík,369
(ĽSNS),Marian Kotleba,1
(MOST - HÍD),Andrej Hrnčiar,2
(MOST - HÍD),Béla Bugár,9
(MOST - HÍD),Edita Pfundtner,152
(MOST - HÍD),Eduard Adamčík,4
(MOST - HÍD),Elemér Jakab,4
(MOST - HÍD),František Šebej,46
(MOST - HÍD),Gábor Gál,182
(MOST - HÍD),Gabriel Csicsai,9
(MOST - HÍD),Igor Janckulík,34
(MOST - HÍD),Irén Sárközy,132
(MOST - HÍD),Katarína Cséfalvayová,25
(MOST - HÍD),Ladislav Balódi,7
(MOST - HÍD),Lucia Žitňanská,22
(MOST - HÍD),Martin Fedor,68
(MOST - HÍD),Peter Antal,167
(MOST - HÍD),Peter Kresák,238
(MOST - HÍD),Péter Vörös,14
(MOST - HÍD),Tibor Bastrnák,74
(OĽANO),Alan Suchánek,259
(OĽANO),Anna Verešová,618
(OĽANO),Daniel Lipšic,299
(OĽANO),Eduard Heger,1842
(OĽANO),Elena Červeňáková,72
(OĽANO),Erika Jurinová,1354
(OĽANO),Gábor Grendel,465
(OĽANO),Igor Matovič,1029
(OĽANO),Ján Budaj,1252
(OĽANO),Ján Marosz,396
(OĽANO),Jozef Lukáč,73
(OĽANO),Jozef Viskupič,1117
(OĽANO),Marek Krajčí,392
(OĽANO),Martin Fecko,934
(OĽANO),Miroslav Sopko,510
(OĽANO),Natália Milanová,61
(OĽANO),Oto Žarnay,183
(OĽANO),Richard Vašečka,350
(OĽANO),Silvia Petruchová,43
(OĽANO),Silvia Shahzad,547
(OĽANO),Soňa Gaborčáková,1043
(OĽANO),Veronika Remišová,1026
(OĽANO),Viera Dubačová,114
(SaS),Alojz Baránik,631
(SaS),Anna Zemanová,1497
(SaS),Branislav Gröhling,240
(SaS),Eugen Jurzyca,665
(SaS),Jana Cigániková,506
(SaS),Jana Kiššová,490
(SaS),Jozef Mihál,671
(SaS),Jozef Rajtár,421
(SaS),Juraj Droba,88
(SaS),Karol Galek,652
(SaS),Ľubomír Galko,378
(SaS),Lucia Ďuriš Nicholsonová,112
(SaS),Lucia Nicholsonová,45
(SaS),Martin Klus,578
(SaS),Martin Poliačik,394
(SaS),Milan Laurenčík,162
(SaS),Miroslav Ivan,360
(SaS),Natália Blahová,355
(SaS),Ondrej Dostál,3038
(SaS),Peter Osuský,527
(SaS),Radoslav Pavelka,50
(SaS),Renata Kaščáková,19
(SaS),Renáta Kaščáková,294
(SaS),Vladimír Sloboda,117
(SaS),Zuzana Zimenová,2
(SME RODINA),Adriana Pčolinská,80
(SME RODINA),Boris Kollár,370
(SME RODINA),Ľudovít Goga,22
(SME RODINA),Milan Krajniak,748
(SME RODINA),Peter Marček,14
(SME RODINA),Peter Pčolinský,720
(SME RODINA),Peter Štarchoň,135
(SME RODINA),Petra Krištúfková,73
(SME RODINA),Zuzana Šebová,30
(SMER - SD),Augustín Hambálek,8
(SMER - SD),Darina Gabániová,7
(SMER - SD),Dušan Bublavý,129
(SMER - SD),Dušan Čaplovič,29
(SMER - SD),Dušan Galis,7
(SMER - SD),Dušan Jarjabek,151
(SMER - SD),Dušan Muňko,64
(SMER - SD),Emil Ďurovčík,4
(SMER - SD),Erik Tomáš,179
(SMER - SD),Igor Choma,20
(SMER - SD),Ján Kvorka,107
(SMER - SD),Ján Podmanický,38
(SMER - SD),Ján Senko,33
(SMER - SD),Jana Laššáková,32
(SMER - SD),Jana Vaľová,259
(SMER - SD),Jaroslav Baška,50
(SMER - SD),Jozef Burian,94
(SMER - SD),Jozef Ježík,2
(SMER - SD),Jozef Valocký,11
(SMER - SD),Juraj Blanár,319
(SMER - SD),Ladislav Kamenický,120
(SMER - SD),Ľubomír Jahnátek,8
(SMER - SD),Ľubomír Petrák,325
(SMER - SD),Ľubomír Vážny,24
(SMER - SD),Ľubomír Želiezka,6
(SMER - SD),Ľuboš Blaha,200
(SMER - SD),Ľuboš Martinák,20
(SMER - SD),Marek Maďarič,51
(SMER - SD),Mária Janíková,9
(SMER - SD),Marián Kéry,154
