schodza,tlac,druh,meno,pocet
1,4,-,Mária Janíková,1
1,4,-,Peter Pčolinský,1
1,4,Vstup predsedajúceho,Peter Pellegrini,3
1,6,-,Andrej Danko,1
1,6,-,Peter Kresák,1
1,6,Vstup predsedajúceho,Andrej Danko,1
1,6,Vstup predsedajúceho,Peter Pellegrini,1
1,7,Vstup predsedajúceho,Andrej Danko,5
1,7,Vystúpenie,Marian Kotleba,1
1,7,Vystúpenie s faktickou poznámkou,Anton Hrnko,1
1,7,Vystúpenie s faktickou poznámkou,Marian Kotleba,1
1,7,Vystúpenie s procedurálnym návrhom,Daniel Lipšic,2
1,8,-,Andrej Danko,4
1,8,Uvádzajúci uvádza bod,Andrej Danko,1
1,8,Vstup predsedajúceho,Andrej Danko,1
1,8,Vystúpenie,Jana Cigániková,1
1,8,Vystúpenie,Martin Poliačik,1
1,8,Vystúpenie s faktickou poznámkou,Andrej Danko,2
1,8,Vystúpenie s faktickou poznámkou,Jozef Viskupič,1
1,8,Vystúpenie s faktickou poznámkou,Marian Kotleba,1
1,8,Vystúpenie s faktickou poznámkou,Martin Poliačik,1
1,8,Vystúpenie s faktickou poznámkou,Milan Krajniak,1
1,10,-,Andrej Danko,2
1,10,Vstup predsedajúceho,Andrej Danko,1
1,10,Vystúpenie,Ján Budaj,1
1,10,Vystúpenie s faktickou poznámkou,Anna Zemanová,1
1,10,Vystúpenie s faktickou poznámkou,Jozef Viskupič,1
1,11,-,Béla Bugár,1
1,11,Uvádzajúci uvádza bod,Béla Bugár,1
1,11,Vstup predsedajúceho,Béla Bugár,1
1,11,Vstup predsedajúceho,Martin Klus,1
1,13,-,Béla Bugár,36
1,13,Uvádzajúci uvádza bod,Béla Bugár,2
1,13,Vstup predsedajúceho,Andrej Danko,1
1,13,Vstup predsedajúceho,Béla Bugár,3
1,13,Vystúpenie,Miroslav Beblavý,1
1,13,Vystúpenie s faktickou poznámkou,Andrej Hrnčiar,1
1,13,Vystúpenie s faktickou poznámkou,Anton Hrnko,1
1,13,Vystúpenie s faktickou poznámkou,Daniel Lipšic,3
1,13,Vystúpenie s faktickou poznámkou,Igor Matovič,3
1,13,Vystúpenie s faktickou poznámkou,Jana Cigániková,1
1,13,Vystúpenie s faktickou poznámkou,Jozef Viskupič,3
1,13,Vystúpenie s faktickou poznámkou,Lucia Nicholsonová,1
1,13,Vystúpenie s faktickou poznámkou,Marian Kotleba,2
1,13,Vystúpenie s faktickou poznámkou,Martin Poliačik,2
1,13,Vystúpenie s faktickou poznámkou,Milan Krajniak,1
1,13,Vystúpenie s faktickou poznámkou,Miroslav Beblavý,1
1,13,Vystúpenie s faktickou poznámkou,Ondrej Dostál,1
1,13,Vystúpenie s faktickou poznámkou,Peter Osuský,1
1,13,Vystúpenie s faktickou poznámkou,Radoslav Procházka,2
1,13,Vystúpenie s faktickou poznámkou,Richard Vašečka,1
1,13,Vystúpenie s faktickou poznámkou,Simona Petrík,1
1,13,Vystúpenie s faktickou poznámkou,Veronika Remišová,1
1,13,Vystúpenie s faktickou poznámkou,Ľubomír Galko,1
1,13,Vystúpenie s procedurálnym návrhom,Daniel Lipšic,2
1,13,Vystúpenie s procedurálnym návrhom,Igor Matovič,1
1,13,Vystúpenie s procedurálnym návrhom,Katarína Macháčková,1
1,13,Vystúpenie s procedurálnym návrhom,Martin Poliačik,1
