,schodza,tlac,meno,klub,druh,dlzka
1,33,971,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,1
2,33,1013,Peter Osuský,(SaS),Uvádzajúci uvádza bod,2
3,33,1013,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,1
4,33,1013,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,2
5,33,1013,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,2
6,33,1013,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,2
7,33,1013,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,2
8,33,1013,Peter Osuský,(SaS),Uvádzajúci uvádza bod,12
9,33,1013,Peter Osuský,(SaS),Uvádzajúci uvádza bod,12
10,33,1013,Peter Osuský,(SaS),Uvádzajúci uvádza bod,12
11,33,1013,Peter Osuský,(SaS),Uvádzajúci uvádza bod,12
13,32,987,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,2
14,32,987,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,2
15,32,987,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,2
16,31,957,Peter Osuský,(SaS),Uvádzajúci uvádza bod,15
17,31,945,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,2
18,31,950,Peter Osuský,(SaS),Vystúpenie v rozprave,10
19,31,950,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,2
20,6,143,Peter Osuský,(SaS),Uvádzajúci uvádza bod,4
21,6,143,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,2
22,6,143,Peter Osuský,(SaS),Uvádzajúci uvádza bod,13
23,6,141,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,2
24,6,140,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,2
25,6,149,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,1
26,6,149,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,1
27,6,149,Peter Osuský,(SaS),Vystúpenie s faktickou poznámkou,1
